SAMPLE;PACKAGE;FRAME;STATUS;PLETH;ADDON;CHECKSUM
1;1;1;129;38406;0;29
2;1;2;128;38420;94;136
3;1;3;128;38247;96;220
4;1;4;128;37924;45;101
5;1;5;130;37479;96;219
6;1;6;130;36933;0;87
7;1;7;130;36303;0;222
8;1;8;130;35614;0;43
9;1;9;130;34899;96;189
10;1;10;130;34199;96;254
11;1;11;130;33553;96;118
12;1;12;130;32994;0;228
13;1;13;130;32543;0;32
14;1;14;130;32214;0;213
15;1;15;128;32007;94;98
16;1;16;128;31914;96;6
17;1;17;128;31910;96;2
18;1;18;128;31959;0;211
19;1;19;128;32017;0;14
20;1;20;128;32051;0;48
21;1;21;128;32034;95;126
22;1;22;128;31959;0;211
23;1;23;128;31832;94;178
24;1;24;128;31671;0;178
25;1;25;128;31487;0;249
26;2;1;129;31294;0;57
27;2;2;128;31098;93;208
28;2;3;128;30904;96;16
29;2;4;128;30714;45;30
30;2;5;128;30534;96;157
31;2;6;128;30364;0;146
32;2;7;128;30210;0;248
33;2;8;128;30072;0;109
34;2;9;128;29950;96;82
35;2;10;128;29836;96;224
36;2;11;128;29729;96;117
37;2;12;128;29628;0;175
38;2;13;128;29534;0;81
39;2;14;128;29452;0;255
40;2;15;128;29396;94;36
41;2;16;128;29385;96;27
42;2;17;128;29450;96;93
43;2;18;128;29634;0;181
44;2;19;128;29989;0;26
45;2;20;128;30561;0;88
46;2;21;128;31372;95;229
47;2;22;128;32404;0;146
48;2;23;128;33590;94;151
49;2;24;128;34827;0;19
50;2;25;128;35992;0;164
51;3;1;129;36974;0;127
52;3;2;128;37697;93;177
53;3;3;128;38124;96;96
54;3;4;128;38264;45;186
55;3;5;128;38155;96;128
56;3;6;128;37854;0;241
57;3;7;130;37416;0;60
58;3;8;130;36884;0;38
59;3;9;130;36281;96;40
60;3;10;130;35620;96;145
61;3;11;130;34919;96;209
62;3;12;130;34204;0;163
63;3;13;130;33515;0;239
64;3;14;130;32894;0;128
65;3;15;130;32382;94;220
66;3;16;130;32001;96;96
67;3;17;128;31751;96;99
68;3;18;128;31617;0;124
69;3;19;128;31573;0;80
70;3;20;128;31587;0;94
71;3;21;128;31627;93;227
72;3;22;128;31665;0;172
73;3;23;128;31677;94;22
74;3;24;128;31650;0;157
75;3;25;128;31580;0;87
76;4;1;129;31471;0;234
77;4;2;128;31333;92;187
78;4;3;128;31174;96;31
79;4;4;128;31003;45;65
80;4;5;128;30829;96;197
81;4;6;128;30653;0;180
82;4;7;128;30480;0;7
83;4;8;128;30314;0;96
84;4;9;128;30155;96;32
85;4;10;128;30004;96;137
86;4;11;128;29859;96;247
87;4;12;128;29721;0;13
88;4;13;128;29592;0;139
89;4;14;128;29473;0;20
90;4;15;128;29367;93;6
91;4;16;128;29283;96;181
92;4;17;128;29232;96;130
93;4;18;128;29233;0;35
94;4;19;128;29324;0;126
95;4;20;128;29554;0;101
96;4;21;128;29981;93;111
97;4;22;128;30650;0;177
98;4;23;128;31570;94;171
99;4;24;128;32700;0;187
100;4;25;128;33952;0;164
101;5;1;129;35201;0;139
102;5;2;128;36319;92;72
103;5;3;128;37208;96;201
104;5;4;128;37811;45;243
105;5;5;128;38117;96;89
106;5;6;128;38154;0;31
107;5;7;128;37970;0;102
108;5;8;128;37617;0;3
109;5;9;130;37142;96;137
110;5;10;130;36580;96;84
111;5;11;130;35954;96;224
112;5;12;130;35283;0;222
113;5;13;130;34589;0;38
114;5;14;130;33903;0;117
115;5;15;130;33260;93;76
116;5;16;130;32696;96;25
117;5;17;130;32239;96;78
118;5;18;130;31907;0;161
119;5;19;128;31699;0;206
120;5;20;128;31601;0;108
121;5;21;128;31583;93;183
122;5;22;128;31615;0;122
123;5;23;128;31662;94;7
124;5;24;128;31701;0;208
125;5;25;128;31712;0;219
126;6;1;129;31689;0;197
127;6;2;128;31634;91;232
128;6;3;128;31554;96;157
129;6;4;128;31454;45;5
130;6;5;128;31336;96;194
131;6;6;128;31206;0;223
132;6;7;128;31068;0;85
133;6;8;128;30927;0;199
134;6;9;128;30788;96;156
135;6;10;128;30659;96;26
136;6;11;128;30539;96;162
137;6;12;128;30421;0;203
138;6;13;128;30298;0;80
139;6;14;128;30168;0;205
140;6;15;128;30031;92;160
141;6;16;128;29895;96;27
142;6;17;128;29773;96;161
143;6;18;128;29684;0;231
144;6;19;128;29659;0;206
145;6;20;128;29738;0;30
146;6;21;128;29974;93;104
147;6;22;128;30423;0;205
148;6;23;128;31111;94;222
149;6;24;128;32028;0;25
150;6;25;128;33110;0;87
151;7;1;129;34257;0;215
152;7;2;128;35351;91;124
153;7;3;128;36288;96;45
154;7;4;128;36999;45;196
155;7;5;128;37454;96;192
156;7;6;128;37655;0;42
157;7;7;128;37632;0;19
158;7;8;128;37426;0;68
159;7;9;128;37080;96;72
160;7;10;130;36631;96;136
161;7;11;130;36110;96;125
162;7;12;130;35538;0;222
163;7;13;130;34930;0;124
164;7;14;130;34308;0;12
165;7;15;130;33700;92;5
166;7;16;130;33136;96;211
167;7;17;130;32653;96;238
168;7;18;130;32273;0;17
169;7;19;130;32012;0;11
170;7;20;128;31861;0;113
171;7;21;128;31803;91;146
172;7;22;128;31809;0;61
173;7;23;128;31847;92;191
174;7;24;128;31885;0;137
175;7;25;128;31902;0;154
176;8;1;129;31889;0;142
177;8;2;128;31845;90;187
178;8;3;128;31776;96;124
179;8;4;128;31689;45;241
180;8;5;128;31588;96;191
181;8;6;128;31474;0;236
182;8;7;128;31348;0;110
183;8;8;128;31207;0;224
184;8;9;128;31057;96;170
185;8;10;128;30900;96;12
186;8;11;128;30745;96;113
187;8;12;128;30595;0;122
188;8;13;128;30458;0;240
189;8;14;128;30335;0;117
190;8;15;128;30230;92;104
191;8;16;128;30141;96;18
192;8;17;128;30068;96;201
193;8;18;128;30017;0;54
194;8;19;128;30003;0;40
195;8;20;128;30062;0;99
196;8;21;128;30249;91;122
197;8;22;128;30629;0;156
198;8;23;128;31244;92;98
199;8;24;128;32099;0;96
200;8;25;128;33141;0;118
201;9;1;129;34270;0;228
202;9;2;128;35363;90;135
203;9;3;128;36307;96;64
204;9;4;128;37021;45;218
205;9;5;128;37475;96;213
206;9;6;128;37680;0;67
207;9;7;128;37673;0;60
208;9;8;128;37499;0;141
209;9;9;128;37204;96;197
210;9;10;130;36821;96;70
211;9;11;130;36373;96;133
212;9;12;130;35878;0;52
213;9;13;130;35351;0;35
214;9;14;130;34810;0;3
